"Country EN","Region 1 EN","Region 1 Local Language","Region 1 Latitude","Region 1 Longitude","Region 2 EN","Region 2 Latitude","Region 2 Longitude","Region 3 EN","Region 3 Latitude","Region 3 Longitude","Region 4 EN","Region 4 Latitude","Region 4 Longitude","Region 5 EN","Region 5 Latitude","Region 5 Longitude","Region 6 EN","Region 6 Latitude","Region 6 Longitude"
,,,,,"Lacrima di Morro [Lacrima di Morro d'Alba]","43,609731","13,21312",,,,,,,,,,,,
,,,,,"Marches DOCG","43,505874","12,989615",,,,,,,,,,,,
,,,,,,,,"Rosso Conero Riserva","43,612217","13,52417",,,,,,,,,
,,,,,,,,"Verdicchio dei Castelli di Jesi Riserva","43,450925","13,116989",,,,,,,,,
,,,,,,,,"Verdicchio di Matelica Riserva","43,265206","13,007813",,,,,,,,,
,,,,,,,,"Vernaccia di Serrapetrona","43,18315","13,152008",,,,,,,,,
,,,,,"Offida","42,936722","13,701426",,,,,,,,,,,,
,,,,,"Pergola","43,566462","12,837524",,,,,,,,,,,,
,,,,,"Rosso Conero","43,612217","13,52417",,,,,,,,,,,,
,,,,,"Rosso Piceno","43,086633","13,565711",,,,,,,,,,,,
,,,,,"San Ginesio","43,107667","13,326407",,,,,,,,,,,,
,,,,,"Serrapetrona","43,177037","13,190481",,,,,,,,,,,,
,,,,,"Terreni di Sanseverino","43,232197","13,181362",,,,,,,,,,,,
,,,,,"Verdicchio dei Castelli di Jesi","43,450925","13,116989",,,,,,,,,,,,
,,,,,,,,"Verdicchio dei Castelli di Jesi Classico","43,450925","13,116989",,,,,,,,,
,,,,,"Verdicchio di Matelica","43,265206","13,007813",,,,,,,,,,,,
,"Molise",,"41,63109","14,493461",,,,,,,,,,,,,,,
,,,,,"Biferno","41,701243","14,731808",,,,,,,,,,,,
,,,,,"Molise del Molise","41,63109","14,493461",,,,,,,,,,,,
,,,,,"Pentro di Isernia","41,601045","14,243859",,,,,,,,,,,,
,"Piedmont [Piemonte]",,"45,058001","7,69043",,,,,,,,,,,,,,,
,,,,,"Alba","44,707706","8,031006",,,,,,,,,,,,
,,,,,"Albugnano","45,077979","7,97125",,,,,,,,,,,,
,,,,,"Barbera d'Alba","44,707706","8,031006",,,,,,,,,,,,
,,,,,"Barbera del Monferrato","44,789633","8,322144",,,,,,,,,,,,
,,,,,"Barolo Chinato","44,613934","7,943115",,,,,,,,,,,,
,,,,,"Boca","45,685557","8,407974",,,,,,,,,,,,
,,,,,"Bramaterra","45,596744","8,238373",,,,,,,,,,,,
,,,,,"Canavese","45,344424","7,717896",,,,,,,,,,,,
,,,,,"Carema","45,584537","7,811889",,,,,,,,,,,,
,,,,,"Cisterna d'Asti","44,834448","8,00354",,,,,,,,,,,,
,,,,,"Colli Tortonesi","44,898687","8,865967",,,,,,,,,,,,
,,,,,,,,"Colli Tortonesi Monleale","44,886891","8,974628",,,,,,,,,
,,,,,"Colline Novaresi","45,706179","8,459473",,,,,,,,,,,,
,,,,,"Colline Saluzzesi","44,643254","7,489929",,,,,,,,,,,,
,,,,,"Cortese dell'Alto Monferrato","44,685254","8,470459",,,,,,,,,,,,
,,,,,"Coste della Sesia","45,693711","8,286438",,,,,,,,,,,,
,,,,,"Dolcetto d'Acqui","44,72332","8,470459",,,,,,,,,,,,
,,,,,"Dolcetto d'Alba","44,707706","8,031006",,,,,,,,,,,,
,,,,,"Dolcetto d'Asti","44,733077","8,289185",,,,,,,,,,,,
,,,,,"Dolcetto delle Langhe Monregalesi","44,402392","7,822266",,,,,,,,,,,,
,,,,,"Dolcetto di Dogliani","44,533227","7,944489",,,,,,,,,,,,
,,,,,"Dolcetto di Ovada","44,637391","8,640747",,,,,,,,,,,,
,,,,,"Fara","45,548198","8,467712",,,,,,,,,,,,
,,,,,"Freisa d'Asti","44,937585","8,21228",,,,,,,,,,,,
,,,,,"Freisa di Chieri","45,019185","7,822266",,,,,,,,,,,,
,,,,,"Gabiano","45,157833","8,196426",,,,,,,,,,,,
,,,,,"Grignolino d'Asti","44,941473","8,195801",,,,,,,,,,,,
,,,,,"Grignolino del Monferrato Casalese","45,13943","8,448486",,,,,,,,,,,,
,,,,,"Langhe","44,648139","7,926636",,,,,,,,,,,,
,,,,,,,,"Langhe Nascetta del Comune di Novello","44,590956","7,927666",,,,,,,,,
,,,,,"Lessona","45,586375","8,19643",,,,,,,,,,,,
,,,,,"Loazzolo","44,669778","8,258215",,,,,,,,,,,,
,,,,,"Malvasia di Casorzo d'Asti","45,028406","8,340683",,,,,,,,,,,,
,,,,,"Malvasia di Castelnuovo Don Bosco","45,05024","7,992554",,,,,,,,,,,,
,,,,,"Monferrato","44,789633","8,322144",,,,,,,,,,,,
,,,,,,,,"Monferrato Casalese",,,,,,,,,,,
,,,,,"Nebbiolo d'Alba","44,707706","8,031006",,,,,,,,,,,,
,,,,,"Piedmont DOCG","45,058001","7,69043",,,,,,,,,,,,
,,,,,,,,"Alta Langa Metodo Classico","44,719417","8,470459",,,,,,,,,
,,,,,,,,"Asti","44,937585","8,21228",,,,,,,,,
,,,,,,,,"Barbaresco","44,725046","8,080868",,,,,,,,,
,,,,,,,,"Barbera d'Asti","44,995883","8,217773",,,,,,,,,
